"date_time","temperature"
2018-09-21 04:00:00,6.894
2018-09-21 05:00:00,8.631
2018-09-21 06:00:00,10
2018-09-21 07:00:00,10.883
2018-09-21 08:00:00,11.198
2018-09-21 09:00:00,11.015
2018-09-21 10:00:00,10.63
2018-09-21 11:00:00,9.9
2018-09-21 12:00:00,9.07
2018-09-21 13:00:00,8.299
2018-09-21 14:00:00,7.534
2018-09-21 15:00:00,6.825
2018-09-21 16:00:00,6.231
2018-09-21 17:00:00,5.7
2018-09-21 18:00:00,5.339
2018-09-21 19:00:00,5.076
2018-09-21 20:00:00,4.904
2018-09-21 21:00:00,4.842
2018-09-21 22:00:00,4.8
2018-09-21 23:00:00,4.721
2018-09-22 00:00:00,4.7
2018-09-22 01:00:00,4.78
2018-09-22 02:00:00,5.108
2018-09-22 03:00:00,6.039
2018-09-22 04:00:00,7.437
2018-09-22 05:00:00,8.767
2018-09-22 06:00:00,9.883
2018-09-22 07:00:00,10.681
2018-09-22 08:00:00,10.989
2018-09-22 09:00:00,10.93
2018-09-22 10:00:00,10.502
2018-09-22 11:00:00,9.649
2018-09-22 12:00:00,8.692
2018-09-22 13:00:00,7.842
2018-09-22 14:00:00,7.194
2018-09-22 15:00:00,6.71
2018-09-22 16:00:00,6.293
2018-09-22 17:00:00,5.891
2018-09-22 18:00:00,5.56
2018-09-22 19:00:00,5.344
2018-09-22 20:00:00,5.247
2018-09-22 21:00:00,5.187
2018-09-22 22:00:00,5.082
2018-09-22 23:00:00,4.951
2018-09-23 00:00:00,4.9
2018-09-23 01:00:00,5.037
2018-09-23 02:00:00,5.528
2018-09-23 03:00:00,6.495
2018-09-23 04:00:00,7.89
2018-09-23 05:00:00,9.41
2018-09-23 06:00:00,10.688
2018-09-23 07:00:00,11.477
2018-09-23 08:00:00,11.511
2018-09-23 09:00:00,11.287
2018-09-23 10:00:00,10.912
2018-09-23 11:00:00,10.109
2018-09-23 12:00:00,9.246
2018-09-23 13:00:00,8.507
2018-09-23 14:00:00,7.942
2018-09-23 15:00:00,7.467
2018-09-23 16:00:00,7.045
2018-09-23 17:00:00,6.762
2018-09-23 18:00:00,6.555
2018-09-23 19:00:00,6.427
2018-09-23 20:00:00,6.302
2018-09-23 21:00:00,6.125
2018-09-23 22:00:00,5.941
2018-09-23 23:00:00,5.747
2018-09-24 00:00:00,5.637
2018-09-24 01:00:00,5.784
2018-09-24 02:00:00,5.907
2018-09-24 03:00:00,6.101
2018-09-24 04:00:00,6.917
2018-09-24 05:00:00,7.816
2018-09-24 06:00:00,8.433
2018-09-24 07:00:00,8.427
2018-09-24 08:00:00,7.617
2018-09-24 09:00:00,6.785
2018-09-24 10:00:00,6.162
2018-09-24 11:00:00,5.759
2018-09-24 12:00:00,5.505
2018-09-24 13:00:00,5.321
2018-09-24 14:00:00,5.117
2018-09-24 15:00:00,4.936
2018-09-24 16:00:00,4.765
2018-09-24 17:00:00,4.555
2018-09-24 18:00:00,4.328
2018-09-24 19:00:00,4.047
2018-09-24 20:00:00,3.697
2018-09-24 21:00:00,3.363
2018-09-24 22:00:00,3.062
2018-09-24 23:00:00,2.792
2018-09-25 00:00:00,2.597
2018-09-25 01:00:00,2.5
2018-09-25 02:00:00,2.516
2018-09-25 03:00:00,2.727
2018-09-25 04:00:00,3.239
2018-09-25 05:00:00,4.261
2018-09-25 06:00:00,5.464
2018-09-25 07:00:00,6.294
2018-09-25 08:00:00,6.725
2018-09-25 09:00:00,6.737
2018-09-25 10:00:00,6.384
2018-09-25 11:00:00,5.748
2018-09-25 12:00:00,5.11
2018-09-25 13:00:00,4.604
2018-09-25 14:00:00,4.198
2018-09-25 15:00:00,3.841
2018-09-25 16:00:00,3.516
2018-09-25 17:00:00,3.247
2018-09-25 18:00:00,3.005
2018-09-25 19:00:00,2.79
2018-09-25 20:00:00,2.654
2018-09-25 21:00:00,2.495
2018-09-25 22:00:00,2.323
2018-09-25 23:00:00,2.156
2018-09-26 00:00:00,2.028
2018-09-26 01:00:00,2
2018-09-26 02:00:00,2.119
2018-09-26 03:00:00,2.551
2018-09-26 04:00:00,3.583
2018-09-26 05:00:00,5.13
2018-09-26 06:00:00,6.443
2018-09-26 07:00:00,7.235
2018-09-26 08:00:00,7.5
2018-09-26 09:00:00,7.41
2018-09-26 10:00:00,6.982
2018-09-26 11:00:00,6.345
2018-09-26 12:00:00,5.717
2018-09-26 13:00:00,5.166
2018-09-26 14:00:00,4.757
2018-09-26 15:00:00,4.403
2018-09-26 16:00:00,4.092
2018-09-26 17:00:00,3.815
2018-09-26 18:00:00,3.606
2018-09-26 19:00:00,3.435
2018-09-26 20:00:00,3.249
2018-09-26 21:00:00,3.03
2018-09-26 22:00:00,2.834
2018-09-26 23:00:00,2.711
2018-09-27 00:00:00,2.601
2018-09-27 01:00:00,2.673
2018-09-27 02:00:00,2.941
2018-09-27 03:00:00,3.697
2018-09-27 04:00:00,4.683
2018-09-27 05:00:00,5.812
2018-09-27 06:00:00,6.86
2018-09-27 07:00:00,7.793
2018-09-27 08:00:00,8.378
2018-09-27 09:00:00,8.306
2018-09-27 10:00:00,7.808
2018-09-27 11:00:00,7.15
2018-09-27 12:00:00,6.487
2018-09-27 13:00:00,5.909
2018-09-27 14:00:00,5.418
2018-09-27 15:00:00,4.973
2018-09-27 16:00:00,4.59
2018-09-27 17:00:00,4.33
2018-09-27 18:00:00,4.126
2018-09-27 19:00:00,3.925
2018-09-27 20:00:00,3.758
2018-09-27 21:00:00,3.629
2018-09-27 22:00:00,3.471
2018-09-27 23:00:00,3.351
2018-09-28 00:00:00,3.3
2018-09-28 01:00:00,3.389
2018-09-28 02:00:00,3.756
2018-09-28 03:00:00,4.587
2018-09-28 04:00:00,5.868
2018-09-28 05:00:00,7.158
2018-09-28 06:00:00,8.166
2018-09-28 07:00:00,8.878
2018-09-28 08:00:00,9.184
2018-09-28 09:00:00,9.034
2018-09-28 10:00:00,8.593
2018-09-28 11:00:00,7.918
2018-09-28 12:00:00,7.185
2018-09-28 13:00:00,6.555
2018-09-28 14:00:00,6.122
2018-09-28 15:00:00,5.838
2018-09-28 16:00:00,5.6
2018-09-28 17:00:00,5.393
2018-09-28 18:00:00,5.232
2018-09-28 19:00:00,5.052
2018-09-28 20:00:00,4.926
2018-09-28 21:00:00,4.861
2018-09-28 22:00:00,4.78
2018-09-28 23:00:00,4.662
2018-09-29 00:00:00,4.588
2018-09-29 01:00:00,4.592
2018-09-29 02:00:00,4.72
2018-09-29 03:00:00,4.958
2018-09-29 04:00:00,5.382
2018-09-29 05:00:00,6.327
2018-09-29 06:00:00,7.738
2018-09-29 07:00:00,8.868
2018-09-29 08:00:00,9.37
2018-09-29 09:00:00,9.365
2018-09-29 10:00:00,9.103
2018-09-29 11:00:00,8.536
2018-09-29 12:00:00,7.843
2018-09-29 13:00:00,7.193
2018-09-29 14:00:00,6.627
2018-09-29 15:00:00,6.116
2018-09-29 16:00:00,5.734
2018-09-29 17:00:00,5.479
2018-09-29 18:00:00,5.338
2018-09-29 19:00:00,5.168
2018-09-29 20:00:00,5.041
2018-09-29 21:00:00,4.907
2018-09-29 22:00:00,4.796
2018-09-29 23:00:00,4.653
2018-09-30 00:00:00,4.518
2018-09-30 01:00:00,4.672
2018-09-30 02:00:00,5.141
2018-09-30 03:00:00,6.073
2018-09-30 04:00:00,7.368
2018-09-30 05:00:00,8.712
2018-09-30 06:00:00,9.568
2018-09-30 07:00:00,10.073
2018-09-30 08:00:00,10.276
2018-09-30 09:00:00,9.998
2018-09-30 10:00:00,9.41
2018-09-30 11:00:00,8.547
2018-09-30 12:00:00,7.78
2018-09-30 13:00:00,7.139
2018-09-30 14:00:00,6.668
2018-09-30 15:00:00,6.293
2018-09-30 16:00:00,6.007
2018-09-30 17:00:00,5.804
2018-09-30 18:00:00,5.661
2018-09-30 19:00:00,5.559
2018-09-30 20:00:00,5.455
2018-09-30 21:00:00,5.355
2018-09-30 22:00:00,5.239
2018-09-30 23:00:00,5.137
2018-10-01 00:00:00,5.05
2018-10-01 01:00:00,5.175
2018-10-01 02:00:00,5.625
2018-10-01 03:00:00,6.38
2018-10-01 04:00:00,7.311
2018-10-01 05:00:00,8.166
2018-10-01 06:00:00,8.732
2018-10-01 07:00:00,9.272
2018-10-01 08:00:00,9.3
2018-10-01 09:00:00,9.07
2018-10-01 10:00:00,8.695
2018-10-01 11:00:00,8.088
2018-10-01 12:00:00,7.392
2018-10-01 13:00:00,6.823
2018-10-01 14:00:00,6.502
2018-10-01 15:00:00,6.348
2018-10-01 16:00:00,6.144
2018-10-01 17:00:00,5.937
2018-10-01 18:00:00,5.768
2018-10-01 19:00:00,5.631
2018-10-01 20:00:00,5.496
2018-10-01 21:00:00,5.397
2018-10-01 22:00:00,5.3
2018-10-01 23:00:00,5.203
2018-10-02 00:00:00,5.2
2018-10-02 01:00:00,5.262
2018-10-02 02:00:00,5.555
2018-10-02 03:00:00,5.972
2018-10-02 04:00:00,6.696
2018-10-02 05:00:00,7.162
2018-10-02 06:00:00,7.686
2018-10-02 07:00:00,8.384
2018-10-02 08:00:00,8.632
2018-10-02 09:00:00,8.547
2018-10-02 10:00:00,8.089
2018-10-02 11:00:00,7.505
2018-10-02 12:00:00,6.994
2018-10-02 13:00:00,6.612
2018-10-02 14:00:00,6.296
2018-10-02 15:00:00,6.039
2018-10-02 16:00:00,5.858
2018-10-02 17:00:00,5.734
2018-10-02 18:00:00,5.7
2018-10-02 19:00:00,5.7
2018-10-02 20:00:00,5.799
2018-10-02 21:00:00,5.375
2018-10-02 22:00:00,5.327
2018-10-02 23:00:00,5.4
2018-10-03 00:00:00,5.328
2018-10-03 01:00:00,5.434
2018-10-03 02:00:00,5.83
2018-10-03 03:00:00,6.343
2018-10-03 04:00:00,6.875
2018-10-03 05:00:00,7.377
2018-10-03 06:00:00,7.885
2018-10-03 07:00:00,8.3
